Name,Type,Description,Visible,Title,Date,Journal,Lens_ID,Citations,Importance,Link
"1-0,8576",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/094-690-739-382-440/main"">
Radiative Scaling Neutrino Mass and Warm Dark Matter</a><br>
Ernest Ma <br><br>
Abstract A new and radical scenario of the simple 2006 model of radiative neutrino mass is proposed, where there is no seesaw mechanism, i.e. neutrino masses are not inversely proportional to some large mass scale, contrary to the prevalent theoretical thinking. The neutral singlet fermions in the loop have masses of order 10 keV, the lightest of which is absolutely stable and the others are very ...
<br><br>
[<a href=""http://arxiv.org/pdf/1206.1812.pdf"">PDF</a>]</div>",,Radiative Scaling Neutrino Mass and Warm Dark Matter,2018-05-15,Physics Letters B,094-690-739-382-440,36,0.8576,
"2-0,81",New,"<div><a href=""https://www.lens.org/lens/scholar/article/194-666-813-225-917/main"">
Light $Z^\prime$ and Dark Matter from U(1)$_X$ Gauge Symmetry.</a><br>
Nobuchika Okada, Satomi Okada, Qaisar Shafi <br><br>
We consider a U(1)$_X$ gauge symmetry extension of the Standard Model (SM) with a $Z^\prime$-portal Majorana fermion dark matter that allows for a relatively light gauge boson $Z^\prime$ with mass of 10 MeV$-$ a few GeV and a much heavier dark matter through the freeze-in mechanism. In a second scenario the roles are reversed, and the dark matter mass, in the keV range or so, lies well below the $...
<br><br>
[<a href=""http://arxiv.org/pdf/2003.02667.pdf"">PDF</a>]</div>",,Light $Z^\prime$ and Dark Matter from U(1)$_X$ Gauge Symmetry.,2020-03-23,arXiv: High Energy Physics - Phenomenology,194-666-813-225-917,0,0.8099999999999999,
"3-0,806",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/020-650-282-178-018/main"">
Multicomponent dark matter particles in a two-loop neutrino model</a><br>
Yuji Kajiyama, Hiroshi Okada, Takashi Toma <br><br>
We construct a loop induced seesaw model in a TeV scale theory with gauged U(1)B−L symmetry. Light neutrino masses are generated at two-loop level and right-handed neutrinos also obtain their masses by one-loop effect. Multi-component Dark Matters (DMs) are included in our model due to the remnant discrete symmetry after the B − L symmetry breaking and the Z2 parity which is originally imposed to ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.88.015029"">10.1103/physrevd.88.015029</a> [<a href=""https://arxiv.org/pdf/1303.7356"">PDF</a>]</div>",,Multicomponent dark matter particles in a two-loop neutrino model,2018-05-12,Physical Review D,020-650-282-178-018,69,0.806,
"4-0,76",New,"<div><a href=""https://www.lens.org/lens/scholar/article/127-861-135-556-015/main"">
Neutrino Portal to FIMP Dark Matter with an Early Matter Era</a><br>
Catarina Cosme, Maíra Dutra, Teng Ma, <i>et al.</i> <br><br>
We study the freeze-in production of Feebly Interacting Massive Particle (FIMP) dark matter candidates through a neutrino portal. We consider a hidden sector comprised of a fermion and a complex scalar, with the lightest one regarded as a FIMP candidate. We implement the Type-I Seesaw mechanism for generating the masses of the Standard Model (SM) neutrinos and consider three heavy neutrinos, respo...
<br><br>
[<a href=""http://arxiv.org/pdf/2003.01723.pdf"">PDF</a>]</div>",,Neutrino Portal to FIMP Dark Matter with an Early Matter Era,2020-03-23,arXiv: High Energy Physics - Phenomenology,127-861-135-556-015,0,0.76,
"5-0,75",New,"<div><a href=""https://www.lens.org/lens/scholar/article/008-842-835-653-889/main"">
Mono-Higgs signature in the scotogenic model with Majorana dark matter</a><br>
Amine Ahriche, Abdesslam Arhrib, Adil Jueid, <i>et al.</i> <br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.101.035038"">10.1103/physrevd.101.035038</a> ",,Mono-Higgs signature in the scotogenic model with Majorana dark matter,2020-03-05,Physical Review D,008-842-835-653-889,0,0.75,
"6-0,7117",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/115-285-336-489-447/main"">
KeV warm dark matter and composite neutrinos</a><br>
Dean J. Robinson, Yuhsin Tsai <br><br>
Elementary keV sterile Dirac neutrinos can be a natural ingredient of the composite neutrino scenario. For a certain class of composite neutrino theories, these sterile neutrinos naturally have the appropriate mixing angles to be resonantly produced warm dark matter (WDM). Alternatively, we show these sterile neutrinos can be WDM produced by an entropy-diluted thermal freeze-out, with the necessar...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep08(2012)161"">10.1007/jhep08(2012)161</a> [<a href=""https://arxiv.org/pdf/1205.0569v2"">PDF</a>]</div>",,KeV warm dark matter and composite neutrinos,2018-05-11,Journal of High Energy Physics,115-285-336-489-447,16,0.7117,
"7-0,71",New,"<div><a href=""https://www.lens.org/lens/scholar/article/084-224-559-566-364/main"">
arXiv : New Sensitivity Curves for Gravitational-Wave Experiments</a><br>
Kai Schmitz <br><br>
Gravitational waves (GWs) from strong first-order phase transitions (SFOPTs) in the early Universe are a prime target for upcoming GW experiments. In this paper, I construct novel peak-integrated sensitivity curves (PISCs) for these experiments, which faithfully represent their projected sensitivities to the GW signal from a cosmological SFOPT by explicitly taking into account the expected shape o...
<br><br>
[<a href=""https://arxiv.org/abs/2002.04615"">PDF</a>]</div>",,arXiv : New Sensitivity Curves for Gravitational-Wave Experiments,2020-03-07,arXiv: High Energy Physics - Phenomenology,084-224-559-566-364,1,0.7100000000000001,
"8-0,71",New,"<div><a href=""https://www.lens.org/lens/scholar/article/126-575-297-799-630/main"">
A fresh look at the gravitational-wave signal from cosmological phase transitions</a><br>
Tommi Alanne, Thomas Hugle, Moritz Platscher, <i>et al.</i> <br><br>
Many models of physics beyond the Standard Model predict a strong first-order phase transition (SFOPT) in the early Universe that leads to observable gravitational waves (GWs). In this paper, we propose a novel method for presenting and comparing the GW signals that are predicted by different models. Our approach is based on the observation that the GW signal has an approximately model-independent...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep03(2020)004"">10.1007/jhep03(2020)004</a> ",,A fresh look at the gravitational-wave signal from cosmological phase transitions,2020-03-05,Journal of High Energy Physics,126-575-297-799-630,1,0.7100000000000001,
"9-0,6506",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/032-623-365-480-871/main"">
Sterile neutrinos as dark matter</a><br>
Scott Dodelson, Lawrence M. Widrow <br><br>
The simplest model that can accommodate a viable nonbaryonic dark matter candidate is the standard electroweak theory with the addition of right-handed or sterile neutrinos. This model has been studied extensively in the context of the hot dark matter scenario. We reexamine this model and find that hot, warm, and cold dark matter are all possibilities. We focus on the case where sterile neutrinos ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.72.17"">10.1103/physrevlett.72.17</a> [<a href=""https://arxiv.org/pdf/hep-ph/9303287"">PDF</a>]</div>",,Sterile neutrinos as dark matter,2018-05-08,Physical Review Letters,032-623-365-480-871,906,0.6506,
"10-0,63",New,"<div><a href=""https://www.lens.org/lens/scholar/article/032-221-358-108-842/main"">
Dodelson-Widrow Mechanism in the Presence of Self-Interacting Neutrinos</a><br>
André de Gouvêa, Manibrata Sen, Walter Tangarife, <i>et al.</i> <br><br>
keV-scale gauge-singlet fermions, when allowed to mix with the active neutrinos, are elegant dark matter (DM) candidates. They are produced in the early Universe via the Dodelson-Widrow mechanism and can be detected as they decay very slowly, emitting x-rays. In the absence of new physics, this hypothesis is virtually ruled out by astrophysical observations. Here, we show that new interactions amo...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.124.081802"">10.1103/physrevlett.124.081802</a> ",,Dodelson-Widrow Mechanism in the Presence of Self-Interacting Neutrinos,2020-03-05,Physical Review Letters,032-221-358-108-842,0,0.63,
"11-0,61",New,"<div><a href=""https://www.lens.org/lens/scholar/article/199-535-702-091-356/main"">
Boltzmann hierarchies for self-interacting warm dark matter scenarios</a><br>
Rafael Yunis, Carlos R. Argüelles, Diana López Nacir <br><br>
We provide a general framework for self-interacting warm dark matter (WDM) in cosmological perturbations, by deriving from first principles a Boltzmann hierarchy which retains certain independence from a particular interaction Lagrangian. We consider elastic interactions among the massive particles, and obtain a hierarchy which is more general than the ones usually obtained for non-relativistic (a...
<br><br>
[<a href=""http://arxiv.org/pdf/2002.05778.pdf"">PDF</a>]</div>",,Boltzmann hierarchies for self-interacting warm dark matter scenarios,2020-03-07,arXiv: Cosmology and Nongalactic Astrophysics,199-535-702-091-356,0,0.61,
"12-0,6069",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/014-517-420-914-731/main"">
Production and evolution of perturbations of sterile neutrino dark matter</a><br>
Kevork N. Abazajian <br><br>
Sterile neutrinos, fermions with no standard model couplings [SU(2) singlets], are predicted by most extensions of the standard model, and may be the dark matter. I describe the nonthermal production and linear perturbation evolution in the early universe of this dark matter candidate. I calculate production of sterile neutrino dark matter including effects of Friedmann dynamics dictated by the qu...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.73.063506"">10.1103/physrevd.73.063506</a> [<a href=""https://arxiv.org/abs/astro-ph/0511630"">PDF</a>]</div>",,Production and evolution of perturbations of sterile neutrino dark matter,2018-05-12,Physical Review D,014-517-420-914-731,126,0.6069,
"13-0,5067",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/030-155-115-162-646/main"">
Dark-matter sterile neutrinos in models with a gauge singlet in the Higgs sector</a><br>
Kalliopi Petraki, Alexander Kusenko <br><br>
Sterile neutrino with mass of several keV can be the cosmological dark matter, can explain the observed velocities of pulsars, and can play an important role in the formation of the first stars. We describe the production of sterile neutrinos in a model with an extended Higgs sector, in which the Majorana mass term is generated by the vacuum expectation value of a gauge-singlet Higgs boson. In thi...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.77.065014"">10.1103/physrevd.77.065014</a> [<a href=""https://arxiv.org/abs/0711.4646"">PDF</a>]</div>",,Dark-matter sterile neutrinos in models with a gauge singlet in the Higgs sector,2018-05-12,Physical Review D,030-155-115-162-646,229,0.5067,
"14-0,4894",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/022-489-772-921-788/main"">
Constraining sterile neutrino dark matter with phase space density observations</a><br>
Dmitry Gorbunov, Andrei Khmelnitsky, Valery A. Rubakov <br><br>
We apply phase space density considerations to obtain lower bounds on the mass of the sterile neutrino as a dark matter candidate. The bounds are different for non-resonant production, resonant production in the presence of lepton asymmetry and production in decays of heavier particles. In the former case our bound is comparable to but independent of the Lyman-α bound, and together with the x-ray ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2008/10/041"">10.1088/1475-7516/2008/10/041</a> [<a href=""http://www.arxiv-vanity.com/papers/0808.3910/"">PDF</a>]</div>",,Constraining sterile neutrino dark matter with phase space density observations,2018-05-12,Journal of Cosmology and Astroparticle Physics,022-489-772-921-788,80,0.4894,
"15-0,4878",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/146-275-423-806-426/main"">
Sterile neutrino dark matter as a consequence of nuMSM-induced lepton asymmetry</a><br>
Mikko Laine, Mikhail Shaposhnikov <br><br>
It has been pointed out by one of the authors (Shaposhnikov 2008Preprint0804.4542) that in the νMSM (Standard Model extended with three right-handed neutrinos with masses smaller than the electroweak scale), there is a corner in the parameter space where CP-violating resonant oscillations among the two heaviest right-handed neutrinos continue to operate below the freeze-out temperature of sphalero...
<br><br>
[<a href=""https://arxiv.org/pdf/0804.4543"">PDF</a>]</div>",,Sterile neutrino dark matter as a consequence of nuMSM-induced lepton asymmetry,2018-05-15,Journal of Cosmology and Astroparticle Physics,146-275-423-806-426,124,0.4878,
"16-0,4843",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/125-627-669-400-789/main"">
New Dark Matter Candidate: Nonthermal Sterile Neutrinos</a><br>
Xiangdong Shi, George M. Fuller <br><br>
Author(s): Shi, Xiangdong; Fuller, George M | Abstract: We propose a new and unique dark matter candidate: ∼ 100 eV to ∼ 10 keV sterile neutrinos produced via lepton-number-driven resonant Mikheyev-Smirnov-Wolfenstein conversion of active neutrinos. The requisite lepton number asymmetries in any of the active neutrino flavors range from 10-3to 10-1of the photon number. The unique feature here is t...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.82.2832"">10.1103/physrevlett.82.2832</a> [<a href=""https://arxiv.org/pdf/astro-ph/9810076"">PDF</a>]</div>",,New Dark Matter Candidate: Nonthermal Sterile Neutrinos,2018-05-12,Physical Review Letters,125-627-669-400-789,532,0.4843,
